bot_config,lam_confirm,lam_disconfirm,session_id,round,draw_red,draw_blue,true_bayes_mode,bot_mode,modes_diverge,quadratic_score
bayesian,0.0,0.0,61,4,3,0,15,15,0,-0.0623067433480371
bayesian,0.0,0.0,61,5,3,0,16,16,0,-0.27346219207542527
bayesian,0.0,0.0,62,1,1,2,6,6,0,0.04134622269960614
bayesian,0.0,0.0,62,2,2,1,10,10,0,0.11916638000229328
bayesian,0.0,0.0,62,3,2,1,11,11,0,0.1921919767807812
bayesian,0.0,0.0,62,4,2,1,12,12,0,0.27428071831633083
bayesian,0.0,0.0,62,5,2,1,12,12,0,0.38091074425171356
bayesian,0.0,0.0,63,1,3,0,20,20,0,-0.0438381668456856
bayesian,0.0,0.0,63,2,1,2,13,13,0,0.14088837289301687
bayesian,0.0,0.0,63,3,2,1,13,13,0,0.16518572722541386
bayesian,0.0,0.0,63,4,1,2,12,12,0,0.274280718316331
bayesian,0.0,0.0,63,5,3,0,13,14,1,0.12947396111233594
bayesian,0.0,0.0,64,1,1,2,6,6,0,0.04134622269960614
bayesian,0.0,0.0,64,2,2,1,10,10,0,0.11916638000229328
bayesian,0.0,0.0,64,3,3,0,13,13,0,0.16518572722541386
bayesian,0.0,0.0,64,4,1,2,12,12,0,0.27428071831633094
bayesian,0.0,0.0,64,5,1,2,11,11,0,0.16889017298299472
bayesian,0.0,0.0,65,1,1,2,6,6,0,0.04134622269960614
bayesian,0.0,0.0,65,2,2,1,10,10,0,0.11916638000229328
bayesian,0.0,0.0,65,3,1,2,9,9,0,0.035011695761490935
bayesian,0.0,0.0,65,4,1,2,8,8,0,-0.09935926399238203
bayesian,0.0,0.0,65,5,2,1,9,9,0,-0.14247647894093268
bayesian,0.0,0.0,66,1,3,0,20,20,0,-0.0438381668456856
bayesian,0.0,0.0,66,2,0,3,10,10,0,0.1191663800022933
bayesian,0.0,0.0,66,3,2,1,11,11,0,0.19219197678078132
bayesian,0.0,0.0,66,4,2,1,12,12,0,0.27428071831633094
bayesian,0.0,0.0,66,5,2,1,12,12,0,0.3809107442517136
bayesian,0.0,0.0,67,1,2,1,13,13,0,0.10550662370211243
bayesian,0.0,0.0,67,2,3,0,17,17,0,-0.00905142758857927
bayesian,0.0,0.0,67,3,0,3,11,11,0,0.19219197678078137
bayesian,0.0,0.0,67,4,2,1,12,12,0,0.27428071831633105
bayesian,0.0,0.0,67,5,1,2,11,11,0,0.16889017298299475
bayesian,0.0,0.0,68,1,2,1,13,13,0,0.10550662370211243
bayesian,0.0,0.0,68,2,2,1,13,13,0,0.14088837289301692
bayesian,0.0,0.0,68,3,2,1,13,13,0,0.16518572722541386
bayesian,0.0,0.0,68,4,2,1,13,13,0,0.17174554358161717
bayesian,0.0,0.0,68,5,1,2,12,12,0,0.3809107442517137
bayesian,0.0,0.0,69,1,3,0,20,20,0,-0.0438381668456856
bayesian,0.0,0.0,69,2,0,3,10,10,0,0.1191663800022933
bayesian,0.0,0.0,69,3,1,2,9,9,0,0.03501169576149095
bayesian,0.0,0.0,69,4,2,1,10,10,0,0.09483927447465862
bayesian,0.0,0.0,69,5,3,0,12,12,0,0.3809107442517137
bayesian,0.0,0.0,70,1,2,1,13,13,0,0.10550662370211243
bayesian,0.0,0.0,70,2,2,1,13,13,0,0.14088837289301692
bayesian,0.0,0.0,70,3,1,2,11,11,0,0.19219197678078132
bayesian,0.0,0.0,70,4,3,0,13,13,0,0.1717455435816172
bayesian,0.0,0.0,70,5,2,1,13,13,0,0.12947396111233597
bayesian,0.0,0.0,71,1,2,1,13,13,0,0.10550662370211243
bayesian,0.0,0.0,71,2,2,1,13,13,0,0.14088837289301692
bayesian,0.0,0.0,71,3,1,2,11,11,0,0.19219197678078132
bayesian,0.0,0.0,71,4,3,0,13,13,0,0.1717455435816172
